1,3-DNB;6,06 3300751 3300751 7563750 7563750
1,4-DNB;6,06 3300751 3300751 7564751 7564751
1,5-DNN;6,06 6,06 66,10 3300751 3300751 7566751 7566751
1,8-DNN;6,06 6,06 66,10 3300751 3300751 7565750 7565750
BITNT;6,06 6,06 3300751 3300751 3300751 3300751 3300751 3300751 3301411 3301411 4162751 4162751 4162751 4162751 4164751 4164751 7563750 7563750 7563750 7563750 7563750 7563750 7563750 7563750 7563750 7563750 7563750 7563750
BTX;5,02 6,00 6,02 66,02 0200461 0200461 0202131 0202411 0203411 0301330 0301411 1300461 1303411 1303411 3302410 4101461 4101461 4105411 4600461
DATB;6,06 0200331 0200331 0262751 0262751 0262751 0262751 0263020 0263020 0264751 0264751 3300751 3300751 3300751 7563750 7563750 7563750 7563750 7563750 7563750
DIPS;6,06 1100131 1100331 1101331 1162131 1162441 1300331 3302410 3302410 3302410 3302410 4103411 4103411
DIPSO;0302110 0302110 0302110 0303760 1102760
DPA;6,06 6,06 0200331 0200331 0262751 0262751 0262751 0262751 0264751 0264751 3300751 3300751 3300751 3300751 3300751 3300751 7563750 7563750 7563750 7563750 7563750 7563750 7563750 7563750 7563750 7563750 7563750 7563750
DPE;6,06 6,06 3300751 3300751 3300751 3300751 3300751 3300751 3302330 7563750 7563750 7563750 7563750 7563750 7563750 7563750 7563750 7563750 7563750 7563750 7563750
DPM;6,06 6,06 3300751 3300751 3300751 3300751 3300751 3300751 3301330 7563750 7563750 7563750 7563750 7563750 7563750 7563750 7563750 7563750 7563750 7563750 7563750
HNB;6,06 6,06 3300751 3300751 3300751 3300751 3300751 3300751 7563750 7563750 7563750 7563750 7563750 7563750 7563750 7563750 7563750 7563750 7563750 7563750
HNO;6,06 6,06 0200131 0200131 0200331 0200331 0201131 0201131 0202021 0262751 0262751 0262751 0262751 0264751 0264751 1300131 3300751 3300751 3300751 3300751 3300751 3300751 7563750 7563750 7563750 7563750 7563750 7563750 7563750 7563750 7563750 7563750 7563750 7563750
HNS;6,06 3300751 3300751 3300751 3302460 3304750 3304750 3306750 4600461 4600461 4600461 4600751 4600751 4600751 7503751 7503751 7503751 7563750 7563750 7563750 7563750 7563750 7563750
NONA;6,06 6,06 6,06 3300751 3300751 3300751 3300751 3300751 3300751 3300751 3300751 3300751 7563750 7563750 7563750 7563750 7563750 7563750 7563750 7563750 7563750 7563750 7563750 7563750 7563750 7563750 7563750 7563750 7563750 7563750
PAM;6,06 0200331 0262751 0262751 0264751 3300751 3300751 3300751 7563750 7563750 7563750 7563750 7563750 7563750
PA;6,06 1100331 1162751 1162751 1164751 3300751 3300751 3300751 7563750 7563750 7563750 7563750 7563750 7563750
PYX;6,06 6,06 6,06N1 0200331 0200331 0200331 0200331 0200351 0200351 0262751 0262751 0262751 0262751 0264751 0264751 3300751 3300751 3300751 3300751 3300751 3300751 3300751 3300751 3600751 3600751 7563750 7563750 7563750 7563750 7563750 7563750 7563750 7563750 7563750 7563750 7563750 7563750
TATB;6,06 0200331 0200331 0200331 0262751 0262751 0262751 0262751 0262751 0262751 0263020 0263020 0263020 0263020 0263020 0263020 0264751 0264751 0264751 3300751 3300751 3300751 7563750 7563750 7563750 7563750 7563750 7563750
TENN;6,06 6,06 66,10 3300751 3300751 3300751 3300751 7564751 7564751 7564751 7564751 7565750 7565750 7565750 7565750 7566751 7566751 7566751 7566751
TENPO;6,06 6,06 6,08N1Q2 66,00N1Q4 66,00N1Q4 66B6,00N6Q13 0200331 0200331 0262121 0262751 0262751 0264751 0264751 1200331 1200331 1263750 1263750 1263750 1263750 3300751 3300751 3300751 3300751 7563750 7563750 7563750 7563750
TNA;6,06 0200331 0262751 0262751 0263750 0264751 3300751 3300751 3300751 3300751 7562751 7562751 7562751 7562751 7563750 7563750 7563750 7563750 7563750 7563750 7564751 7564751
TNBA;6,06 1100131 1101331 1300331 1362751 1362751 1364751 3300751 3300751 3300751 4462751 4462751 4464751 7563750 7563750 7563750 7563750 7563750 7563750
TNB;6,06 3300751 3300751 3300751 7563750 7563750 7563750 7563750 7563750 7563750
TNMs;6,06 3300751 3300751 3300751 3301411 3301411 3301411 4162751 4162751 4162751 4162751 4162751 4162751 4163410 4163410 4163410 4163410 4163410 4163410 4164751 4164751 4164751 7563750 7563750 7563750 7563750 7563750 7563750
TNN;6,06 6,06 66,10 3300751 3300751 3300751 7564751 7564751 7565750 7565750 7566751 7566751
TNPTD;6,06 6,06 6,06N1S2 66,10N1S4 66,10N1S4 66B6,14N6S13 2400251 2400251 2500331 2500331 2500341 2500341 2500371 2500371 3300751 3300751 3300751 3300751 7563750 7563750 7563750 7563750
TNR;6,06 1100331 1100331 1162751 1162751 1162751 1162751 1163110 1163110 1164751 1164751 3300751 3300751 3300751 7563750 7563750 7563750 7563750 7563750 7563750
TNT;6,06 3300751 3300751 3300751 3301411 4162751 4162751 4164751 7563750 7563750 7563750 7563750 7563750 7563750
TNX;6,06 3300751 3300751 3300751 3301411 3301411 4162751 4162751 4162751 4162751 4163410 4163410 4164751 4164751 7563750 7563750 7563750 7563750 7563750 7563750
TPT;6,06 6,06 6,06 6,06N1N2N3 3300751 3300751 3300751 3300751 3300751 3300751 3300751 3300751 3300751 7563750 7563750 7563750 7563750 7563750 7563750 7563750 7563750 7563750 7563750 7563750 7563750 7563750 7563750 7563750 7563750 7563750 7563750
