Molecule;Code Designation;Spark Energy (J);Detonation Velocity (km/s);Drop Energy (J);NMR Shift 1;NMR Shift 2;NMR Shift 3;NMR Shift 4;NMR Shift 5;NMR Shift 6;NMR Shift 7;NMR Shift 8;NMR Shift 9;NMR Shift 10;fcss_codes
1,3-Dinitrobenzene;1,3-DNB;3.15;-;-;118.2;129.1;131.5;147.8;-;-;-;-;-;-;6,06 3300751 3300751 7563750 7563750
1,4-Dinitrobenzene;1,4-DNB;18.38;-;-;125.0;150.7;-;-;-;-;-;-;-;-;6,06 3300751 3300751 7564751 7564751
1,3,5-Trinitrobenzene;TNB;6.31;-;24.52;123.8;148.3;-;-;-;-;-;-;-;-;6,06 3300751 3300751 3300751 7563750 7563750 7563750 7563750 7563750 7563750
2,2',4,4',6,6'-Hexanitrobiphenyl;HNB;5.03;-;18.64;125.2;126.0;148.2;148.7;-;-;-;-;-;-;6,06 6,06 3300751 3300751 3300751 3300751 3300751 3300751 7563750 7563750 7563750 7563750 7563750 7563750 7563750 7563750 7563750 7563750 7563750 7563750
2,2',2'',4,4',4'',6,6',6''-Nonanitro-1,1',3',1''-terphenyl;NONA;16.44;-;9.10;123.5;125.4;125.9;126.0;148.0;148.4;149.2;149.5;-;-;6,06 6,06 6,06 3300751 3300751 3300751 3300751 3300751 3300751 3300751 3300751 3300751 7563750 7563750 7563750 7563750 7563750 7563750 7563750 7563750 7563750 7563750 7563750 7563750 7563750 7563750 7563750 7563750 7563750 7563750
2,4,6-tris(2,4,6-Trinitrophenyl)-1,3,5-triazine;TPT;10.61;-;-;125.3;127.8;148.5;149.1;170.2;-;-;-;-;-;6,06 6,06 6,06 6,06N1N2N3 3300751 3300751 3300751 3300751 3300751 3300751 3300751 3300751 3300751 7563750 7563750 7563750 7563750 7563750 7563750 7563750 7563750 7563750 7563750 7563750 7563750 7563750 7563750 7563750 7563750 7563750 7563750
1,5-Dinitronaphthalene;1,5-DNN;11.20;-;-;125.5;126.0;128.9;129.1;148.2;-;-;-;-;-;6,06 6,06 66,10 3300751 3300751 7566751 7566751
1,8-Dinitronaphthalene;1,8-DNN;13.99;-;-;116.1;127.7;135.4;135.7;145.7;-;-;-;-;-;6,06 6,06 66,10 3300751 3300751 7565750 7565750
1,4,5-Trinitronaphthalene;TNN;10.97;-;-;117.4;124.9;127.0;127.6;129.2;129.4;130.8;145.9;147.6;150.6;6,06 6,06 66,10 3300751 3300751 3300751 7564751 7564751 7565750 7565750 7566751 7566751
1,4,5,8-Tetranitronaphthalene;TENN;8.26;-;-;117.9;128.0;146.9;-;-;-;-;-;-;-;6,06 6,06 66,10 3300751 3300751 3300751 3300751 7564751 7564751 7564751 7564751 7565750 7565750 7565750 7565750 7566751 7566751 7566751 7566751
1-(2,4,6-Trinitrophenyl)-5,7-dinitrobenzotriazole;BTX;6.50;-;-;122.9;124.9;125.5;125.6;128.6;129.6;144.8;145.8;147.3;148.7;5,02 6,00 6,02 66,02 0200461 0200461 0202131 0202411 0203411 0301330 0301411 1300461 1303411 1303411 3302410 4101461 4101461 4105411 4600461
