Code Designation,Spark Energy (J),Min NMR Shift (ppm),Max NMR Shift (ppm),fcss_data
"1,3-DNB",3.15,118.2,147.8,"6,06 3300751 3300751 7563750 7563750"
"1,4-DNB",18.38,125.0,150.7,"6,06 3300751 3300751 7564751 7564751"
TNB,6.31,123.8,148.3,"6,06 3300751 3300751 3300751 7563750 7563750 7563750 7563750 7563750 7563750"
HNB,5.03,125.2,148.7,"6,06 6,06 3300751 3300751 3300751 3300751 3300751 3300751 7563750 7563750 7563750 7563750 7563750 7563750 7563750 7563750 7563750 7563750 7563750 7563750"
NONA,16.44,123.5,149.5,"6,06 6,06 6,06 3300751 3300751 3300751 3300751 3300751 3300751 3300751 3300751 3300751 7563750 7563750 7563750 7563750 7563750 7563750 7563750 7563750 7563750 7563750 7563750 7563750 7563750 7563750 7563750 7563750 7563750 7563750"
TPT,10.61,125.3,170.2,"6,06 6,06 6,06 6,06N1N2N3 3300751 3300751 3300751 3300751 3300751 3300751 3300751 3300751 3300751 7563750 7563750 7563750 7563750 7563750 7563750 7563750 7563750 7563750 7563750 7563750 7563750 7563750 7563750 7563750 7563750 7563750 7563750"
"1,5-DNN",11.20,125.5,148.2,"6,06 6,06 66,10 3300751 3300751 7566751 7566751"
"1,8-DNN",13.99,116.1,145.7,"6,06 6,06 66,10 3300751 3300751 7565750 7565750"
TNN,10.97,117.4,150.6,"6,06 6,06 66,10 3300751 3300751 3300751 7564751 7564751 7565750 7565750 7566751 7566751"
TENN,8.26,117.9,146.9,"6,06 6,06 66,10 3300751 3300751 3300751 3300751 7564751 7564751 7564751 7564751 7565750 7565750 7565750 7565750 7566751 7566751 7566751 7566751"
BTX,6.50,122.9,148.7,"5,02 6,00 6,02 66,02 0200461 0200461 0202131 0202411 0203411 0301330 0301411 1300461 1303411 1303411 3302410 4101461 4101461 4105411 4600461"
TNT,6.85,15.1,150.9,"6,06 3300751 3300751 3300751 3301411 4162751 4162751 4164751 7563750 7563750 7563750 7563750 7563750 7563750"
TNX,11.10,13.9,148.5,"6,06 3300751 3300751 3300751 3301411 3301411 4162751 4162751 4162751 4162751 4163410 4163410 4164751 4164751 7563750 7563750 7563750 7563750 7563750 7563750"
TNMs,8.98,12.6,149.5,"6,06 3300751 3300751 3300751 3301411 3301411 3301411 4162751 4162751 4162751 4162751 4162751 4162751 4163410 4163410 4163410 4163410 4163410 4163410 4164751 4164751 4164751 7563750 7563750 7563750 7563750 7563750 7563750"
PAM,6.85,128.1,143.6,"6,06 0200331 0262751 0262751 0264751 3300751 3300751 3300751 7563750 7563750 7563750 7563750 7563750 7563750"
DATB,10.97,122.0,145.9,"6,06 0200331 0200331 0262751 0262751 0262751 0262751 0263020 0263020 0264751 0264751 3300751 3300751 3300751 7563750 7563750 7563750 7563750 7563750 7563750"
TATB,17.75,114.3,151.6,"6,06 0200331 0200331 0200331 0262751 0262751 0262751 0262751 0262751 0262751 0263020 0263020 0263020 0263020 0263020 0263020 0264751 0264751 0264751 3300751 3300751 3300751 7563750 7563750 7563750 7563750 7563750 7563750"
DPA,5.02,124.4,142.0,"6,06 6,06 0200331 0200331 0262751 0262751 0262751 0262751 0264751 0264751 3300751 3300751 3300751 3300751 3300751 3300751 7563750 7563750 7563750 7563750 7563750 7563750 7563750 7563750 7563750 7563750 7563750 7563750"
HNO,14.58,125.0,157.1,"6,06 6,06 0200131 0200131 0200331 0200331 0201131 0201131 0202021 0262751 0262751 0262751 0262751 0264751 0264751 1300131 3300751 3300751 3300751 3300751 3300751 3300751 7563750 7563750 7563750 7563750 7563750 7563750 7563750 7563750 7563750 7563750 7563750 7563750"
PYX,8.90,123.7,148.5,"6,06 6,06 6,06N1 0200331 0200331 0200331 0200331 0200351 0200351 0262751 0262751 0262751 0262751 0264751 0264751 3300751 3300751 3300751 3300751 3300751 3300751 3300751 3300751 3600751 3600751 7563750 7563750 7563750 7563750 7563750 7563750 7563750 7563750 7563750 7563750 7563750 7563750"
TNPTD,5.78,124.0,141.0,"6,06 6,06 6,06N1S2 66,10N1S4 66,10N1S4 66B6,14N6S13 2400251 2400251 2500331 2500331 2500341 2500341 2500371 2500371 3300751 3300751 3300751 3300751 7563750 7563750 7563750 7563750"
